,Player_URL,Name,Date_of_Birth,City_of_Birth,Country_of_Birth,Citizenship,Height,Foot,Agent,Outfitter,Main_Position,Other_Position,Youth_Club,Avg Temp
40,https://www.transfermarkt.com/gareth-bale/profil/spieler/39381,Gareth Bale,16/07/1989,Cardiff,Wales,['Wales'],186,left,CAA Stellar,adidas,Right Winger,"['Left Winger', 'Centre-Forward']","['Cardiff Civil Service', ' Southampton FC (1999–2006)']",#N/A
41,https://www.transfermarkt.com/willian-jose/profil/spieler/122155,Willian José,23/11/1991,Porto Calvo,Brazil,"['Brazil', 'Spain']",189,right,Un1que Football,,Centre-Forward,,,#N/A
42,https://www.transfermarkt.com/raul-de-tomas/profil/spieler/162038,Raúl de Tomás,17/10/1994,Madrid,Spain,"['Spain', 'Dominican Republic']",180,right,Relatives,,Centre-Forward,['Second Striker'],,14.64146131
43,https://www.transfermarkt.com/keylor-navas/profil/spieler/79422,Keylor Navas,15/12/1986,San Isidro de El General,Costa Rica,"['Costa Rica', 'Spain']",185,right,,,Goalkeeper,,['Deportivo Saprissa (1999-2005)'],26.32571825
44,https://www.transfermarkt.com/fernando-pacheco/profil/spieler/172015,Fernando Pacheco,18/05/1992,Badajoz,Spain,['Spain'],187,left,EMG Mundial,,Goalkeeper,,"['C. D. Obandino', ' Flecha Negra']",14.64146131
45,https://www.transfermarkt.com/ruben-yanez/profil/spieler/246335,Rubén Yáñez,12/10/1993,Blanes,Spain,['Spain'],188,right,Niagara Sports Company,,Goalkeeper,,['CF Lloret (2006–2009)'],14.64146131
46,https://www.transfermarkt.com/derik-osede/profil/spieler/129483,Derik Osede,21/02/1993,Madrid,Spain,"['Spain', 'Nigeria']",184,right,Ginés Carvajal,,Centre-Back,"['Right-Back', 'Central Midfield']",,14.64146131
47,https://www.transfermarkt.com/jaime-sanchez/profil/spieler/212863,Jaime Sánchez,11/03/1995,Chiclana de la Frontera,Spain,['Spain'],185,right,Wasserman,,Centre-Back,,['Sancti Petri (2002-2009)'],14.64146131
48,https://www.transfermarkt.com/abner/profil/spieler/273455,Abner,30/05/1996,Londrina,Brazil,"['Brazil', 'Spain']",180,left,LEFT Sports,,Left-Back,"['Right-Back', 'Left Midfield']","['PSTC Londrina (2008-2011)', ' Coritiba FC']",#N/A
49,https://www.transfermarkt.com/javi-noblejas/profil/spieler/126731,Javi Noblejas,18/03/1993,Madrid,Spain,['Spain'],188,left,,,Left-Back,,['C. D. Las Rozas'],14.64146131
