,Player_URL,Name,Date_of_Birth,City_of_Birth,Country_of_Birth,Citizenship,Height,Foot,Agent,Outfitter,Main_Position,Other_Position,Youth_Club
707,https://www.transfermarkt.com/yossi-benayoun/profil/spieler/7858,Yossi Benayoun,"May 5, 1980",['Dimona'],['Israel'],['Israel'],"1,75",right,A.B SOCCER LTD,,Right Winger,"['Left Winger', 'Attacking Midfield']","['Hapoel Dimona (1989–1992)', "" Hapoel Be'er Sheva (1992–1995)"", ' Ajax (1995–12/1996)']"
708,https://www.transfermarkt.com/fernando-torres/profil/spieler/7767,Fernando Torres,"Mar 20, 1984",['Fuenlabrada (Madrid)'],['Spain'],['Spain'],"1,86",right,Bahía Internacional,Mizuno,Centre-Forward,,"['Parque 84 (1989-1994)', ' Rayo 13 (1994-1995)']"
709,https://www.transfermarkt.com/demba-ba/profil/spieler/40205,Demba Ba,"May 25, 1985",['Sèvres'],['France'],"['Senegal', 'France']","1,89",right,,,Centre-Forward,"['Left Winger', 'Right Winger']","['Port Autonome (1999-2000)', ' Frileuse (2000-2001)', ' SM Montrouge (2001-2004)']"
710,https://www.transfermarkt.com/daniel-sturridge/profil/spieler/47082,Daniel Sturridge,"Sep 1, 1989",['Birmingham'],['England'],['England'],"1,82",left,Sturridge Sports Management,,Centre-Forward,"['Right Winger', 'Second Striker']","['Cadbury Athletic (1995-1996)', ' Aston Villa (1996-2000)', ' Coventry City (2000-2003)', ' Manchester City (2003-2008)']"
711,https://www.transfermarkt.com/mark-schwarzer/profil/spieler/3357,Mark Schwarzer,"Oct 6, 1972",['Sydney'],['Australia'],"['Australia', 'Germany']",N/A,N/A,,,Goalkeeper,,"['Colo Cougars', ' Penrith Nepean United', ' Blacktown City Demons', ' Marconi Stallions']"
712,https://www.transfermarkt.com/matej-delac/profil/spieler/60220,Matej Delac,"Aug 20, 1992",['Gornji Vakuf-Uskoplje'],['Bosnia-Herzegovina'],['Croatia'],"1,90",right,People In Sport,,Goalkeeper,,['NK Inter Zaprešić']
713,https://www.transfermarkt.com/jamal-blackman/profil/spieler/128898,Jamal Blackman,"Oct 27, 1993",['London'],['England'],"['England', 'Barbados']","1,99",right,Panthera Sports,Nike,Goalkeeper,,['Chelsea FC (2006–2012)']
714,https://www.transfermarkt.com/kurt-zouma/profil/spieler/157509,Kurt Zouma,"Oct 27, 1994",['Lyon'],['France'],"['France', 'Central African Republic']","1,90",right,,,Centre-Back,['Right-Back'],"['FC Vaulx-en-Velin (2003-2009)', ' AS Saint-Étienne (2009-2011)']"
715,https://www.transfermarkt.com/tomas-kalas/profil/spieler/148657,Tomas Kalas,"May 15, 1993",['Olomouc'],['Czech Republic'],['Czech Republic'],"1,84",right,SPORT INVEST,Nike,Centre-Back,['Right-Back'],['SK Sigma Olomouc (2000–2009)']
716,https://www.transfermarkt.com/patrick-van-aanholt/profil/spieler/52119,Patrick van Aanholt,"Aug 29, 1990","[""'s-Hertogenbosch""]",['Netherlands'],"['Netherlands', 'Curacao']","1,76",left,Panthera Sports,Nike,Left-Back,['Left Midfield'],"[""SV OSC '45 Orthen"", ' FC Den Bosch (2003–2005)', ' PSV Eindhoven (2005-2007)', ' Chelsea FC (2007-2009)']"
717,https://www.transfermarkt.com/cristian-cuevas/profil/spieler/186863,Cristian Cuevas,"Apr 2, 1995",['Rancagua'],['Chile'],['Chile'],"1,75",left,Fernando Felicevich,,Left-Back,['Left Midfield'],
718,https://www.transfermarkt.com/wallace-oliveira/profil/spieler/181779,Wallace Oliveira,"May 1, 1994",['Rio de Janeiro'],['Brazil'],['Brazil'],"1,75",right,Argon Sport,,Right-Back,['Right Midfield'],['Fluminense (2005-2011)']
719,https://www.transfermarkt.com/marco-van-ginkel/profil/spieler/147034,Marco van Ginkel,"Dec 1, 1992",['Amersfoort'],['Netherlands'],['Netherlands'],"1,86",right,Wasserman,,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']","['De Valleivogels (-2003)', ' Vitesse (2003-2010)']"
720,https://www.transfermarkt.com/john-swift/profil/spieler/197693,John Swift,"Jun 23, 1995",['Portsmouth'],['England'],['England'],"1,82",right,Campeador Sports Management,adidas,Central Midfield,['Attacking Midfield'],
721,https://www.transfermarkt.com/lewis-baker/profil/spieler/198589,Lewis Baker,"Apr 25, 1995",['Luton'],['England'],"['England', 'Jamaica']","1,82",right,no agent,adidas,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']","['Luton Town (2004–2005)', ' Chelsea FC (2005–2012)']"
722,https://www.transfermarkt.com/kevin-de-bruyne/profil/spieler/88755,Kevin De Bruyne,"Jun 28, 1991",['Drongen'],['Belgium'],['Belgium'],"1,81",right,,Nike,Attacking Midfield,['Central Midfield'],"['KVV Drongen (1997-1999)', ' KAA Gent (1999-2005)', ' KRC Genk (2005-2008)']"
723,https://www.transfermarkt.com/gael-kakuta/profil/spieler/74297,Gaël Kakuta,"Jun 21, 1991",['Lille'],['France'],"['DR Congo', 'France']","1,73",left,F12,Nike,Attacking Midfield,"['Right Winger', 'Left Winger']","['US Lille-Moulins (1998-1999)', ' RC Lens (1999-2007)']"
724,https://www.transfermarkt.com/ulises-davila/profil/spieler/108820,Ulises Dávila,"Apr 13, 1991",['Guadalajara'],['Mexico'],['Mexico'],"1,72",left,442 Management,,Attacking Midfield,"['Right Midfield', 'Right Winger']",
